sf,query,analyze_ms,plan_ms,codegen_ms,compile_ms,pso_ms,dataload_ms,bufalloc_ms,gpu_ms,cpu_ms,compile_overhead_ms,cpu_total_ms,e2e_ms,load_source,load_bytes,load_mibps,ingest_ms,query_compute_ms,gpu_trials_n,gpu_p10_ms,gpu_p90_ms,gpu_mad_ms
SF20,Q1,0.243,0.374,0.047,0.832,0.676,4923.830,0.071,71.208,0.009,2.173,4926.082,4997.291,chunked-colbin,2639881354,511.307,0.000,71.217,1,71.208,71.208,0.000
SF20,Q2,0.317,0.638,0.033,0.948,1.434,460.138,0.015,2.231,268.697,3.370,732.219,734.450,colbin,478600958,991.941,0.000,270.928,5,2.023,2.358,0.127
SF20,Q3,0.230,0.402,0.041,0.762,1.222,4476.888,0.340,40.146,208.157,2.658,4688.043,4728.189,chunked-colbin,2414913696,514.429,0.000,248.303,1,40.146,40.146,0.000
SF20,Q4,0.204,0.022,0.025,0.603,1.022,2401.667,0.077,39.999,0.062,1.876,2403.681,2443.680,chunked-colbin,1709935275,678.996,0.000,40.061,1,39.999,39.999,0.000
SF20,Q5,3.987,0.209,0.332,0.863,1.143,3239.554,0.111,29.160,0.115,6.534,3246.314,3275.474,chunked-colbin,2305514045,678.707,0.000,29.274,1,29.160,29.160,0.000
SF20,Q6,0.194,0.019,0.024,0.775,0.875,1890.748,0.096,28.062,0.006,1.887,1892.737,1920.799,chunked-colbin,1919913712,968.385,0.000,28.068,1,28.062,28.062,0.000
SF20,Q7,0.529,0.025,0.042,0.828,1.221,2217.629,0.104,42.539,5.694,2.645,2226.073,2268.612,chunked-colbin,2665493582,1146.275,0.000,48.233,1,42.539,42.539,0.000
SF20,Q8,0.328,0.031,0.057,1.027,1.190,3733.962,0.154,55.858,5.883,2.633,3742.631,3798.490,chunked-colbin,2901493198,741.057,0.000,61.741,1,55.858,55.858,0.000
SF20,Q9,0.254,0.211,0.040,0.538,0.871,4749.168,0.104,65.266,1.062,1.915,4752.249,4817.514,chunked-colbin,3549471273,712.765,0.000,66.327,1,65.266,65.266,0.000
SF20,Q10,0.278,0.025,0.029,0.966,0.737,2468.861,0.108,26.383,71.322,2.034,2542.325,2568.707,chunked-colbin,1919929879,741.633,0.000,97.705,1,26.383,26.383,0.000
SF20,Q11,0.226,0.011,0.025,0.535,0.970,3.500,0.004,3.245,6.602,1.767,11.873,15.118,colbin,257600709,70183.103,0.000,9.847,5,3.231,3.259,0.013
SF20,Q12,0.300,0.026,0.031,0.633,1.315,3796.920,0.068,34.264,0.011,2.306,3799.304,3833.568,chunked-colbin,2309902921,580.180,0.000,34.275,1,34.264,34.264,0.000
SF20,Q13,0.216,0.011,0.347,0.946,0.966,3.477,0.011,239.228,0.039,2.487,6.013,245.242,colbin,2501999917,686242.231,0.000,239.267,5,239.128,240.392,0.100
SF20,Q14,0.215,0.021,0.031,0.698,1.013,3512.107,0.057,33.108,0.007,1.979,3514.149,3547.258,chunked-colbin,2035913712,552.830,0.000,33.115,1,33.108,33.108,0.000
SF20,Q15,0.620,0.014,0.022,0.622,0.998,1251.099,0.069,16.629,0.508,2.276,1253.953,1270.582,chunked-colbin,1919913712,1463.491,0.000,17.137,1,16.629,16.629,0.000
SF20,Q16,0.213,0.014,0.049,0.752,0.947,494.395,0.010,18.553,39.803,1.976,536.184,554.737,colbin,320999992,619.200,0.000,58.356,5,17.396,18.805,0.554
SF20,Q17,0.216,0.015,0.030,1.196,0.895,1921.304,0.038,29.632,0.013,2.352,1923.705,1953.337,chunked-colbin,2495892140,1238.882,0.000,29.644,1,29.632,29.632,0.000
SF20,Q18,0.247,0.011,0.019,0.837,0.716,1821.186,0.111,44.377,84.464,1.831,1907.591,1951.968,chunked-colbin,1439956840,754.041,0.000,128.841,1,44.377,44.377,0.000
SF20,Q19,0.355,0.020,0.032,0.784,1.159,9440.044,0.118,61.240,0.010,2.350,9442.523,9503.763,chunked-colbin,5271768101,532.577,0.000,61.250,1,61.240,61.240,0.000
SF20,Q20,0.293,0.019,0.034,0.989,1.230,750.926,0.007,13.922,85.932,2.565,839.430,853.351,colbin,2362514425,3000.389,0.000,99.853,5,13.742,14.017,0.095
SF20,Q21,0.474,0.017,0.385,0.772,0.962,280.659,0.031,84.045,18.555,2.610,301.855,385.900,colbin,2076514432,7055.947,0.000,102.600,5,83.357,84.866,0.688
SF20,Q22,0.253,0.013,0.034,0.720,1.179,123.532,0.010,16.569,0.018,2.200,125.759,142.328,colbin,188999996,1459.093,0.000,16.587,5,16.026,16.721,0.176
