sf,query,analyze_ms,plan_ms,codegen_ms,compile_ms,pso_ms,dataload_ms,bufalloc_ms,gpu_ms,cpu_ms,compile_overhead_ms,cpu_total_ms,e2e_ms,load_source,load_bytes,load_mibps,ingest_ms,query_compute_ms,gpu_trials_n,gpu_p10_ms,gpu_p90_ms,gpu_mad_ms
SF20,Q1,0.228,0.019,0.042,0.777,0.684,4676.362,0.059,70.733,0.007,1.749,4678.177,4748.910,chunked-colbin,2639881354,538.364,0.000,70.740,1,70.733,70.733,0.000
SF20,Q2,0.295,0.016,0.030,0.863,1.276,326.422,0.004,2.325,256.644,2.479,585.549,587.875,colbin,478600958,1398.279,0.000,258.969,5,1.919,2.458,0.140
SF20,Q3,0.226,0.023,0.046,0.760,1.217,4411.159,0.253,36.342,212.284,2.272,4625.968,4662.309,chunked-colbin,2414913696,522.094,0.000,248.626,1,36.342,36.342,0.000
SF20,Q4,0.207,0.020,0.029,0.622,1.065,2578.685,0.074,39.400,0.008,1.944,2580.711,2620.111,chunked-colbin,1709935275,632.385,0.000,39.408,1,39.400,39.400,0.000
SF20,Q5,0.278,0.027,0.046,0.810,1.109,3215.510,0.114,29.810,0.316,2.270,3218.210,3248.020,chunked-colbin,2305514045,683.782,0.000,30.126,1,29.810,29.810,0.000
SF20,Q6,0.230,0.022,0.027,0.817,0.939,1827.300,0.062,28.378,0.833,2.035,1830.231,1858.609,chunked-colbin,1919913712,1002.010,0.000,29.211,1,28.378,28.378,0.000
SF20,Q7,0.629,0.022,0.040,0.748,1.196,2269.867,0.098,42.229,5.791,2.636,2278.392,2320.621,chunked-colbin,2665493582,1119.895,0.000,48.020,1,42.229,42.229,0.000
SF20,Q8,0.266,0.026,0.046,1.343,1.116,3549.609,0.125,61.132,6.097,2.798,3558.629,3619.761,chunked-colbin,2901493198,779.545,0.000,67.230,1,61.132,61.132,0.000
SF20,Q9,0.261,0.017,0.029,0.604,0.990,5317.747,0.048,68.239,5.612,1.901,5325.307,5393.547,chunked-colbin,3549471273,636.555,0.000,73.851,1,68.239,68.239,0.000
SF20,Q10,0.328,0.026,0.031,0.863,0.935,2883.559,0.111,25.670,71.580,2.183,2957.434,2983.104,chunked-colbin,1919929879,634.975,0.000,97.251,1,25.670,25.670,0.000
SF20,Q11,0.250,0.011,0.026,0.599,1.047,3.864,0.003,3.342,6.609,1.932,12.408,15.750,colbin,257600709,63577.772,0.000,9.950,5,3.299,3.625,0.042
SF20,Q12,0.287,0.024,0.027,0.598,1.323,3309.490,0.072,33.277,0.010,2.259,3311.831,3345.108,chunked-colbin,2309902921,665.630,0.000,33.287,1,33.277,33.277,0.000
SF20,Q13,0.170,0.010,0.287,0.898,0.871,1.601,0.008,239.846,0.029,2.236,3.874,243.720,colbin,2501999917,1490222.163,0.000,239.875,5,239.468,239.883,0.126
SF20,Q14,0.599,0.022,0.032,0.745,1.021,3339.295,0.098,33.689,6.408,2.420,3348.220,3381.909,chunked-colbin,2035913712,581.440,0.000,40.097,1,33.689,33.689,0.000
SF20,Q15,0.508,0.015,0.023,0.564,0.868,1251.699,0.092,17.750,0.397,1.979,1254.167,1271.917,chunked-colbin,1919913712,1462.789,0.000,18.147,1,17.750,17.750,0.000
SF20,Q16,0.266,0.016,0.028,0.746,0.934,497.215,0.012,17.805,61.675,1.989,560.891,578.696,colbin,320999992,615.689,0.000,79.480,5,17.445,17.960,0.155
SF20,Q17,0.211,0.014,0.026,1.191,0.695,1980.578,0.037,28.911,0.014,2.137,1982.766,2011.677,chunked-colbin,2495892140,1201.805,0.000,28.925,1,28.911,28.911,0.000
SF20,Q18,0.197,0.011,0.017,0.857,0.648,1927.641,0.098,45.620,85.144,1.729,2014.612,2060.232,chunked-colbin,1439956840,712.399,0.000,130.764,1,45.620,45.620,0.000
SF20,Q19,0.358,0.020,0.034,0.781,1.700,10716.143,0.108,60.106,0.008,2.894,10719.152,10779.258,chunked-colbin,5271768101,469.157,0.000,60.114,1,60.106,60.106,0.000
SF20,Q20,0.233,0.013,0.020,0.852,1.233,766.459,0.006,14.248,69.972,2.351,838.788,853.035,colbin,2362514425,2939.581,0.000,84.219,5,13.834,14.260,0.187
SF20,Q21,0.286,0.018,0.363,0.808,0.988,281.982,0.023,83.733,31.362,2.464,315.831,399.564,colbin,2076514432,7022.854,0.000,115.095,5,83.546,84.123,0.188
SF20,Q22,0.426,0.021,0.058,0.884,1.219,120.560,0.006,16.060,0.019,2.608,123.193,139.254,colbin,188999996,1495.059,0.000,16.079,5,15.929,16.073,0.117
