sf,query,analyze_ms,plan_ms,codegen_ms,compile_ms,pso_ms,dataload_ms,bufalloc_ms,gpu_ms,cpu_ms,compile_overhead_ms,cpu_total_ms,e2e_ms,load_source,load_bytes,load_mibps,ingest_ms,query_compute_ms,gpu_trials_n,gpu_p10_ms,gpu_p90_ms,gpu_mad_ms
SF20,Q1,0.337,0.033,0.065,1.022,0.845,5080.880,0.059,73.939,0.008,2.301,5083.248,5157.187,chunked-colbin,2639881354,495.502,0.000,73.947,1,73.939,73.939,0.000
SF20,Q2,0.278,0.015,0.026,0.921,1.526,414.528,0.003,2.449,257.374,2.766,674.671,677.120,colbin,478600958,1101.082,0.000,259.823,5,1.922,2.472,0.304
SF20,Q3,0.252,0.026,0.041,1.109,1.425,4632.905,0.259,37.318,210.782,2.853,4846.800,4884.118,chunked-colbin,2414913696,497.105,0.000,248.100,1,37.318,37.318,0.000
SF20,Q4,0.190,0.020,0.029,0.720,1.253,2457.363,0.070,41.428,0.005,2.212,2459.649,2501.077,chunked-colbin,1709935275,663.606,0.000,41.433,1,41.428,41.428,0.000
SF20,Q5,0.236,0.025,0.040,0.702,0.983,3352.920,0.108,29.283,0.385,1.986,3355.398,3384.682,chunked-colbin,2305514045,655.760,0.000,29.668,1,29.283,29.283,0.000
SF20,Q6,0.223,0.021,0.032,0.828,0.979,2033.388,0.061,29.033,0.010,2.084,2035.543,2064.576,chunked-colbin,1919913712,900.454,0.000,29.044,1,29.033,29.033,0.000
SF20,Q7,0.453,0.025,0.045,0.844,1.212,2647.025,0.104,40.749,0.017,2.578,2649.724,2690.473,chunked-colbin,2665493582,960.328,0.000,40.766,1,40.749,40.749,0.000
SF20,Q8,0.306,0.030,0.056,1.021,1.226,3251.300,0.194,55.926,0.013,2.639,3254.147,3310.073,chunked-colbin,2901493198,851.069,0.000,55.939,1,55.926,55.926,0.000
SF20,Q9,0.226,0.015,0.026,0.523,0.800,5092.798,0.085,66.819,0.230,1.590,5094.703,5161.521,chunked-colbin,3549471273,664.672,0.000,67.049,1,66.819,66.819,0.000
SF20,Q10,0.288,0.029,0.031,0.901,0.904,2679.983,0.094,26.280,68.742,2.153,2750.972,2777.252,chunked-colbin,1919929879,683.209,0.000,95.023,1,26.280,26.280,0.000
SF20,Q11,0.247,0.012,0.028,0.742,1.203,11.027,0.003,3.953,6.112,2.231,19.374,23.327,colbin,257600709,22278.276,0.000,10.065,5,3.281,4.212,0.645
SF20,Q12,0.293,0.026,0.030,0.631,1.379,3733.545,0.101,32.870,0.008,2.359,3736.013,3768.883,chunked-colbin,2309902921,590.028,0.000,32.878,1,32.870,32.870,0.000
SF20,Q13,0.160,0.010,0.331,0.628,0.981,16.696,0.014,239.772,0.048,2.110,18.869,258.640,colbin,2501999917,142910.126,0.000,239.820,5,239.137,240.372,0.609
SF20,Q14,0.411,0.025,0.035,0.828,1.108,3767.449,0.097,35.706,0.009,2.407,3769.962,3805.668,chunked-colbin,2035913712,515.362,0.000,35.715,1,35.706,35.706,0.000
SF20,Q15,0.588,0.015,0.028,0.824,1.011,1223.000,0.103,17.360,0.389,2.466,1225.959,1243.319,chunked-colbin,1919913712,1497.115,0.000,17.749,1,17.360,17.360,0.000
SF20,Q16,0.280,0.017,0.027,0.751,0.964,576.833,0.009,17.980,35.528,2.039,614.409,632.389,colbin,320999992,530.707,0.000,53.508,5,17.548,22.095,0.432
SF20,Q17,0.220,0.015,0.030,0.882,1.040,1779.939,0.036,28.235,10.335,2.186,1792.496,1820.731,chunked-colbin,2495892140,1337.275,0.000,38.570,1,28.235,28.235,0.000
SF20,Q18,0.260,0.012,0.020,0.899,0.734,1988.767,0.123,43.930,81.545,1.925,2072.359,2116.289,chunked-colbin,1439956840,690.503,0.000,125.475,1,43.930,43.930,0.000
SF20,Q19,0.343,0.018,0.031,0.746,1.173,9055.824,0.135,60.599,0.006,2.312,9058.277,9118.876,chunked-colbin,5271768101,555.173,0.000,60.606,1,60.599,60.599,0.000
SF20,Q20,0.292,0.014,0.026,1.103,1.296,1389.377,0.011,14.002,65.047,2.732,1457.167,1471.169,colbin,2362514425,1621.640,0.000,79.049,5,13.933,14.085,0.068
SF20,Q21,0.291,0.018,0.347,0.761,1.086,574.903,0.026,87.366,24.793,2.503,602.224,689.590,colbin,2076514432,3444.613,0.000,112.159,5,85.456,88.761,1.395
SF20,Q22,3.632,0.269,0.301,0.775,1.338,203.552,0.007,16.156,0.018,6.315,209.892,226.048,colbin,188999996,885.496,0.000,16.174,5,15.723,16.688,0.434
