sf,query,analyze_ms,plan_ms,codegen_ms,compile_ms,pso_ms,dataload_ms,bufalloc_ms,gpu_ms,cpu_ms,compile_overhead_ms,cpu_total_ms,e2e_ms,load_source,load_bytes,load_mibps,ingest_ms,query_compute_ms,gpu_trials_n,gpu_p10_ms,gpu_p90_ms,gpu_mad_ms
SF20,Q1,0.361,0.067,0.105,0.778,0.718,5620.590,3.310,84.807,0.631,2.029,5626.560,5711.367,chunked-colbin,2639881354,447.922,0.000,85.438,1,84.807,84.807,0.000
SF20,Q2,0.256,0.191,0.025,0.867,1.250,538.552,0.003,2.278,255.296,2.588,796.440,798.718,colbin,478600958,847.513,0.000,257.574,5,1.996,2.584,0.282
SF20,Q3,0.216,0.348,0.034,0.828,1.543,4980.403,0.215,39.249,188.868,2.969,5172.456,5211.704,chunked-colbin,2414913696,462.421,0.000,228.117,1,39.249,39.249,0.000
SF20,Q4,0.218,0.021,0.029,1.220,2.334,2498.011,0.067,45.351,0.007,3.822,2501.906,2547.257,chunked-colbin,1709935275,652.808,0.000,45.358,1,45.351,45.351,0.000
SF20,Q5,0.246,0.802,0.045,1.141,1.544,3837.423,0.143,33.269,2.873,3.778,3844.216,3877.485,chunked-colbin,2305514045,572.965,0.000,36.141,1,33.269,33.269,0.000
SF20,Q6,0.341,0.020,0.024,0.758,0.983,2193.367,0.063,30.132,6.327,2.127,2201.884,2232.017,chunked-colbin,1919913712,834.777,0.000,36.460,1,30.132,30.132,0.000
SF20,Q7,0.532,0.023,0.037,0.760,2.951,3982.349,0.100,47.279,0.019,4.304,3986.772,4034.051,chunked-colbin,2665493582,638.320,0.000,47.298,1,47.279,47.279,0.000
SF20,Q8,0.258,0.026,0.045,1.202,1.418,5444.682,0.135,59.948,0.215,2.948,5447.981,5507.929,chunked-colbin,2901493198,508.217,0.000,60.164,1,59.948,59.948,0.000
SF20,Q9,1.418,0.032,0.096,0.877,1.288,8198.217,0.066,67.279,0.882,3.711,8202.875,8270.154,chunked-colbin,3549471273,412.900,0.000,68.161,1,67.279,67.279,0.000
SF20,Q10,0.263,0.021,0.029,1.769,2.217,2667.549,0.113,26.396,66.149,4.299,2738.111,2764.507,chunked-colbin,1919929879,686.393,0.000,92.545,1,26.396,26.396,0.000
SF20,Q11,0.245,0.012,0.031,0.687,1.236,190.778,0.006,3.314,6.663,2.211,199.658,202.972,colbin,257600709,1287.712,0.000,9.976,5,3.256,3.325,0.012
SF20,Q12,0.297,0.027,0.031,0.645,1.181,3419.875,0.059,33.105,0.369,2.180,3422.483,3455.588,chunked-colbin,2309902921,644.145,0.000,33.474,1,33.105,33.105,0.000
SF20,Q13,0.377,0.021,1.352,0.915,0.869,30.725,0.015,239.714,0.055,3.534,34.330,274.043,colbin,2501999917,77659.766,0.000,239.769,5,239.582,240.211,0.132
SF20,Q14,0.234,0.023,0.033,0.792,1.056,2722.667,0.078,36.031,6.310,2.138,2731.193,2767.224,chunked-colbin,2035913712,713.124,0.000,42.341,1,36.031,36.031,0.000
SF20,Q15,1.875,0.015,0.022,0.572,0.876,1897.498,0.084,17.249,0.448,3.359,1901.390,1918.638,chunked-colbin,1919913712,964.940,0.000,17.697,1,17.249,17.249,0.000
SF20,Q16,0.258,0.018,0.031,0.893,1.049,685.565,0.009,16.448,45.322,2.248,733.145,749.593,colbin,320999992,446.536,0.000,61.769,5,15.550,17.707,0.897
SF20,Q17,0.185,0.013,0.026,0.824,0.701,1933.380,0.060,28.337,0.017,1.749,1935.205,1963.542,chunked-colbin,2495892140,1231.144,0.000,28.354,1,28.337,28.337,0.000
SF20,Q18,0.240,0.012,0.019,0.856,0.725,1849.735,0.122,43.273,92.493,1.853,1944.204,1987.477,chunked-colbin,1439956840,742.404,0.000,135.766,1,43.273,43.273,0.000
SF20,Q19,0.323,0.018,0.030,0.937,0.977,9965.040,0.118,59.816,0.009,2.285,9967.453,10027.269,chunked-colbin,5271768101,504.519,0.000,59.825,1,59.816,59.816,0.000
SF20,Q20,0.292,0.015,0.022,0.809,1.032,1817.922,0.008,14.807,74.798,2.169,1894.897,1909.704,colbin,2362514425,1239.365,0.000,89.605,5,14.567,15.180,0.240
SF20,Q21,0.294,0.019,0.391,0.784,0.833,1016.625,0.024,86.677,17.654,2.320,1036.623,1123.300,colbin,2076514432,1947.933,0.000,104.331,5,83.831,86.867,0.820
SF20,Q22,0.255,0.013,0.034,0.913,1.609,299.777,0.006,16.667,0.015,2.824,302.622,319.289,colbin,188999996,601.262,0.000,16.683,5,15.994,16.818,0.151
