sf,query,analyze_ms,plan_ms,codegen_ms,compile_ms,pso_ms,dataload_ms,bufalloc_ms,gpu_ms,cpu_ms,compile_overhead_ms,cpu_total_ms,e2e_ms,load_source,load_bytes,load_mibps,ingest_ms,query_compute_ms,gpu_trials_n,gpu_p10_ms,gpu_p90_ms,gpu_mad_ms
SF1,Q1,0.395,0.023,0.046,25.721,4.113,3.053,0.006,7.799,0.005,30.298,33.362,41.161,colbin,132026730,41235.947,0.000,7.804,5,7.708,7.884,0.085
SF1,Q2,0.875,0.019,0.090,2.069,7.369,40.636,0.002,0.193,12.884,10.421,63.944,64.137,colbin,23930970,561.629,0.000,13.077,5,0.193,0.194,0.000
SF1,Q3,0.239,0.025,0.038,0.849,1.405,53.726,0.009,2.417,5.119,2.557,61.410,63.827,colbin,120769440,2143.743,0.000,7.536,5,2.193,3.964,0.224
SF1,Q4,0.223,0.023,0.029,0.624,1.417,7.724,0.013,3.153,0.007,2.317,10.061,13.214,colbin,85514580,10558.454,0.000,3.160,5,3.052,7.473,0.101
SF1,Q5,0.324,0.031,0.048,0.962,1.003,44.623,0.010,1.251,0.099,2.368,47.100,48.352,colbin,115299785,2464.188,0.000,1.351,5,1.141,1.454,0.110
SF1,Q6,0.194,0.021,0.023,1.800,2.118,5.167,0.005,2.029,0.007,4.156,9.336,11.365,colbin,96019440,17721.043,0.000,2.036,5,1.195,2.237,0.467
SF1,Q7,0.284,0.024,0.040,0.818,1.189,13.639,0.014,2.234,0.011,2.354,16.018,18.252,colbin,133305750,9320.942,0.000,2.245,5,1.814,2.287,0.289
SF1,Q8,0.352,0.034,0.057,0.920,1.033,42.770,0.015,1.646,0.008,2.396,45.190,46.836,colbin,145105370,3235.531,0.000,1.655,5,1.478,2.000,0.168
SF1,Q9,0.219,0.015,0.028,0.510,0.875,48.981,0.006,2.058,0.207,1.647,50.841,52.899,colbin,177509885,3456.143,0.000,2.265,5,1.833,2.132,0.146
SF1,Q10,0.244,0.020,0.033,0.523,0.726,9.616,0.003,1.306,3.120,1.546,14.285,15.590,colbin,96015795,9522.731,0.000,4.426,5,1.220,1.342,0.036
SF1,Q11,0.234,0.012,0.025,0.727,0.775,0.898,0.003,0.186,0.443,1.773,3.116,3.302,colbin,12880725,13686.286,0.000,0.629,5,0.186,0.194,0.000
SF1,Q12,0.272,0.023,0.024,0.527,0.696,7.842,0.004,1.561,0.007,1.542,9.395,10.955,colbin,115521870,14048.667,0.000,1.568,5,1.513,1.641,0.048
SF1,Q13,0.162,0.011,0.365,0.545,0.774,1.155,0.005,13.050,0.032,1.857,3.048,16.098,colbin,125100000,103312.681,0.000,13.082,5,11.965,13.173,0.138
SF1,Q14,0.229,0.024,0.035,0.586,0.811,8.017,0.004,2.379,0.006,1.685,9.712,12.091,colbin,101819440,12111.456,0.000,2.385,5,1.339,2.657,0.575
SF1,Q15,0.336,0.017,0.021,0.565,0.762,7.214,0.003,0.790,0.033,1.700,8.950,9.741,colbin,96019440,12693.331,0.000,0.823,5,0.755,0.805,0.015
SF1,Q16,0.231,0.017,0.029,0.617,0.746,33.417,0.004,0.920,7.320,1.640,42.380,43.300,colbin,16050000,458.047,0.000,8.240,5,0.901,0.940,0.019
SF1,Q17,0.179,0.014,0.025,0.657,0.785,18.203,0.002,1.306,0.014,1.660,19.879,21.185,colbin,76814580,4024.415,0.000,1.319,5,1.004,1.975,0.301
SF1,Q18,0.223,0.014,0.019,0.564,0.624,26.155,0.004,2.423,3.413,1.443,31.015,33.438,colbin,72009720,2625.648,0.000,5.837,5,2.067,2.997,0.356
SF1,Q19,0.312,0.021,0.036,1.520,0.822,7.669,0.004,2.420,0.006,2.711,10.391,12.811,colbin,263652245,32785.263,0.000,2.426,5,2.362,2.739,0.058
