p_brand,p_type,p_size,supplier_cnt
"Brand#14",STANDARD POLISHED COPPER,3,168
"Brand#44",STANDARD PLATED TIN,9,168
"Brand#13",MEDIUM BRUSHED COPPER,3,164
"Brand#35",PROMO BURNISHED TIN,9,160
"Brand#42",MEDIUM ANODIZED NICKEL,49,160
"Brand#33",STANDARD ANODIZED BRASS,49,159
"Brand#11",SMALL BRUSHED STEEL,45,156
"Brand#14",ECONOMY BRUSHED COPPER,19,156
"Brand#15",ECONOMY ANODIZED COPPER,23,156
"Brand#34",ECONOMY POLISHED BRASS,19,156
"Brand#34",MEDIUM BRUSHED COPPER,9,156
"Brand#41",PROMO BRUSHED STEEL,49,156
"Brand#52",STANDARD ANODIZED TIN,36,156
"Brand#54",STANDARD BRUSHED COPPER,19,156
"Brand#53",ECONOMY BURNISHED COPPER,45,155
"Brand#22",LARGE PLATED COPPER,45,152
"Brand#22",SMALL PLATED TIN,14,152
"Brand#24",MEDIUM ANODIZED TIN,3,152
"Brand#24",SMALL POLISHED TIN,49,152
"Brand#43",LARGE PLATED COPPER,19,152
"Brand#52",ECONOMY BURNISHED STEEL,14,152
"Brand#12",MEDIUM BURNISHED BRASS,45,151
"Brand#11",SMALL BRUSHED STEEL,9,148
"Brand#24",LARGE ANODIZED COPPER,14,148
"Brand#31",LARGE BRUSHED STEEL,36,148
"Brand#43",ECONOMY ANODIZED COPPER,49,148
"Brand#43",LARGE POLISHED BRASS,36,148
"Brand#44",STANDARD BRUSHED COPPER,3,148
"Brand#51",ECONOMY BRUSHED STEEL,36,148
"Brand#55",MEDIUM BRUSHED BRASS,45,148
"Brand#44",ECONOMY POLISHED COPPER,9,147
"Brand#44",STANDARD BURNISHED STEEL,45,147
"Brand#53",ECONOMY BRUSHED TIN,36,147
"Brand#54",LARGE BURNISHED STEEL,36,147
"Brand#11",LARGE BURNISHED BRASS,3,144
"Brand#12",MEDIUM PLATED BRASS,49,144
"Brand#13",SMALL POLISHED NICKEL,9,144
"Brand#13",STANDARD BRUSHED COPPER,45,144
"Brand#14",LARGE POLISHED BRASS,9,144
"Brand#21",SMALL POLISHED NICKEL,23,144
"Brand#22",SMALL POLISHED BRASS,49,144
"Brand#22",STANDARD PLATED TIN,3,144
"Brand#23",STANDARD POLISHED COPPER,49,144
"Brand#24",MEDIUM PLATED STEEL,14,144
"Brand#25",SMALL ANODIZED TIN,36,144
"Brand#31",PROMO ANODIZED TIN,3,144
"Brand#32",MEDIUM PLATED COPPER,9,144
"Brand#32",PROMO ANODIZED BRASS,23,144
"Brand#32",SMALL BURNISHED TIN,36,144
"Brand#33",STANDARD BURNISHED TIN,23,144
"Brand#35",MEDIUM BURNISHED STEEL,19,144
"Brand#35",PROMO BURNISHED NICKEL,19,144
"Brand#35",STANDARD BRUSHED NICKEL,3,144
"Brand#42",LARGE BRUSHED BRASS,9,144
"Brand#42",MEDIUM BURNISHED NICKEL,23,144
"Brand#44",ECONOMY BURNISHED BRASS,49,144
"Brand#51",PROMO POLISHED TIN,3,144
"Brand#51",SMALL BURNISHED BRASS,49,144
"Brand#52",SMALL BURNISHED COPPER,45,144
"Brand#54",LARGE BRUSHED TIN,23,144
"Brand#54",MEDIUM ANODIZED NICKEL,19,144
"Brand#54",PROMO POLISHED NICKEL,14,144
"Brand#55",LARGE PLATED COPPER,14,144
"Brand#14",STANDARD BURNISHED BRASS,49,143
"Brand#32",LARGE PLATED TIN,45,143
"Brand#11",STANDARD BURNISHED COPPER,14,140
"Brand#12",ECONOMY BRUSHED TIN,19,140
"Brand#13",STANDARD BRUSHED NICKEL,49,140
"Brand#21",ECONOMY POLISHED BRASS,36,140
