c_name,c_custkey,o_orderkey,o_orderdate,o_totalprice,sum(l_quantity)
"Customer#001013299",1013299,65003587,1992-02-15,568891.99,318.0
"Customer#002985905",2985905,30332516,1996-03-10,555669.91,310.0
"Customer#001219453",1219453,10603495,1998-04-03,554930.55,307.0
"Customer#002193859",2193859,110510694,1992-11-22,552633.63,325.0
"Customer#001996970",1996970,51532000,1992-10-27,549739.0,319.0
"Customer#000770576",770576,51929955,1993-04-19,548012.33,304.0
"Customer#000813622",813622,47953029,1995-01-14,547475.03,303.0
"Customer#001930717",1930717,71585349,1997-03-26,545938.19,316.0
"Customer#001173505",1173505,96675143,1995-07-04,544214.67,315.0
"Customer#001445276",1445276,18353314,1997-01-28,543117.72,307.0
"Customer#001601353",1601353,21530176,1992-07-10,538610.62,301.0
"Customer#000410083",410083,92752967,1996-09-11,537441.81,302.0
"Customer#001736446",1736446,62072839,1997-05-12,536198.74,313.0
"Customer#000030251",30251,34551296,1998-04-12,535971.42,312.0
"Customer#000695675",695675,53623108,1995-05-07,535226.89,316.0
"Customer#002150438",2150438,44143908,1992-02-24,534475.8,325.0
"Customer#001505383",1505383,96402977,1993-05-14,534282.86,308.0
"Customer#001431211",1431211,49519297,1993-09-17,533837.64,309.0
"Customer#000951130",951130,37828134,1996-03-22,533492.6,312.0
"Customer#002203507",2203507,46794464,1992-04-28,533476.77,320.0
"Customer#001480981",1480981,87006309,1992-11-21,533296.48,320.0
"Customer#000351770",351770,114195492,1993-03-25,532485.9,316.0
"Customer#000064654",64654,76056865,1992-08-11,531765.35,302.0
"Customer#002137678",2137678,103887877,1996-03-23,531747.49,313.0
"Customer#001547339",1547339,30567815,1996-03-03,531601.52,303.0
"Customer#002464529",2464529,47688132,1998-05-06,531422.58,302.0
"Customer#000590509",590509,14389831,1996-11-04,531096.9,301.0
"Customer#002575624",2575624,42290181,1997-11-26,530994.96,318.0
"Customer#001143305",1143305,21213895,1992-01-03,530952.27,327.0
"Customer#002994020",2994020,46096647,1996-04-30,530213.42,310.0
"Customer#002943932",2943932,1263015,1997-02-02,530018.98,320.0
"Customer#000798961",798961,43906817,1995-04-06,529802.48,312.0
"Customer#000010418",10418,95634630,1997-07-02,529287.54,311.0
"Customer#001885450",1885450,48881602,1993-09-19,527860.25,327.0
"Customer#001110752",1110752,22040514,1997-09-22,527825.81,308.0
"Customer#002636006",2636006,69907456,1994-07-29,527714.42,308.0
"Customer#002280950",2280950,29122912,1996-05-08,527320.56,323.0
"Customer#002127790",2127790,23794694,1995-05-15,527254.68,308.0
"Customer#000618577",618577,108695655,1996-03-22,526896.35,310.0
"Customer#001641683",1641683,100999781,1997-04-12,526689.34,317.0
"Customer#000271793",271793,84013094,1998-03-07,526662.15,316.0
"Customer#000529438",529438,78355201,1996-03-06,525994.18,306.0
"Customer#002621299",2621299,88925410,1995-01-10,525160.05,310.0
"Customer#001025497",1025497,11231077,1994-05-27,524978.3,304.0
"Customer#002537279",2537279,4702759,1994-11-07,524884.84,320.0
"Customer#001356424",1356424,72971680,1994-08-09,524528.61,309.0
"Customer#002801423",2801423,77512743,1997-12-17,524311.77,316.0
"Customer#001593632",1593632,98310720,1994-10-27,523818.72,305.0
"Customer#001718204",1718204,94744546,1996-01-03,523788.6,302.0
"Customer#001867837",1867837,5200102,1997-01-22,522851.59,304.0
"Customer#002178358",2178358,114446497,1996-09-29,521742.47,303.0
"Customer#001730974",1730974,100176839,1993-04-12,521702.14,317.0
"Customer#000715298",715298,51184261,1998-07-05,521360.75,315.0
"Customer#001728748",1728748,45968358,1996-08-27,519961.04,307.0
"Customer#002733214",2733214,110569319,1992-07-25,519022.18,310.0
"Customer#001398721",1398721,27034435,1993-09-02,518443.99,308.0
"Customer#000574540",574540,37531878,1997-03-20,518333.93,315.0
"Customer#001019624",1019624,82043264,1996-04-15,517858.14,330.0
"Customer#001397246",1397246,119857319,1995-08-18,517237.02,304.0
"Customer#001731515",1731515,65758691,1992-07-03,516896.78,312.0
"Customer#001379939",1379939,11120293,1995-08-08,515933.21,311.0
"Customer#001545173",1545173,94731687,1995-11-02,515702.22,318.0
"Customer#000119180",119180,68689477,1992-12-09,515281.71,301.0
"Customer#001113476",1113476,70756451,1997-02-26,514208.35,302.0
"Customer#002588714",2588714,118515429,1997-08-27,514113.57,301.0
"Customer#000832078",832078,72862627,1992-04-30,513564.75,312.0
"Customer#002499206",2499206,66120322,1997-02-05,513001.56,312.0
"Customer#002231257",2231257,13165024,1992-06-29,512962.78,318.0
"Customer#001029376",1029376,15572326,1995-02-26,512691.92,309.0
"Customer#002545145",2545145,88891524,1992-10-24,512630.61,305.0
"Customer#001818326",1818326,52426951,1995-05-17,512358.11,309.0
"Customer#000946351",946351,11484962,1992-02-10,512265.45,306.0
"Customer#001292863",1292863,69403239,1996-09-24,512172.63,304.0
"Customer#002345026",2345026,36667107,1997-06-06,512037.49,322.0
"Customer#001290043",1290043,63924839,1996-10-07,511799.37,312.0
"Customer#001394126",1394126,99207458,1993-10-28,511356.82,308.0
"Customer#002386133",2386133,107950688,1995-08-05,511048.77,309.0
"Customer#001200976",1200976,82611552,1995-10-05,510872.29,304.0
"Customer#002454200",2454200,35542498,1993-10-12,510743.49,325.0
"Customer#002729291",2729291,109414535,1997-01-09,510477.05,302.0
"Customer#002458207",2458207,117241218,1997-09-04,510191.01,309.0
"Customer#000059107",59107,84329858,1997-07-12,510145.21,311.0
"Customer#002207243",2207243,63742147,1996-07-10,509880.18,306.0
"Customer#000764426",764426,114672388,1997-07-21,509306.47,302.0
"Customer#002848325",2848325,48395044,1994-06-03,509272.45,316.0
"Customer#000028217",28217,12701702,1997-07-26,509180.34,311.0
"Customer#002001968",2001968,51841767,1996-02-08,509019.7,312.0
"Customer#002128282",2128282,70219840,1996-11-20,508352.58,302.0
"Customer#000744292",744292,48300454,1992-11-30,508289.42,318.0
"Customer#002616751",2616751,28077922,1996-10-27,508230.96,319.0
"Customer#001559284",1559284,43328641,1997-12-22,507974.04,305.0
"Customer#002419654",2419654,12314084,1994-05-16,507822.63,325.0
"Customer#000018379",18379,73823366,1995-08-06,507750.27,307.0
"Customer#001037989",1037989,15104033,1995-02-03,507733.56,308.0
"Customer#002214127",2214127,69369506,1997-01-20,507334.29,305.0
