s_name,numwait
"Supplier#000157198",25
"Supplier#000187079",25
"Supplier#000172043",23
"Supplier#000015145",22
"Supplier#000062469",22
"Supplier#000010689",21
"Supplier#000017682",21
"Supplier#000044596",21
"Supplier#000052433",21
"Supplier#000085368",21
"Supplier#000091155",21
"Supplier#000005649",20
"Supplier#000040481",20
"Supplier#000095533",20
"Supplier#000104259",20
"Supplier#000104921",20
"Supplier#000109730",20
"Supplier#000124093",20
"Supplier#000140436",20
"Supplier#000140847",20
"Supplier#000153974",20
"Supplier#000192441",20
"Supplier#000004539",19
"Supplier#000006379",19
"Supplier#000018522",19
"Supplier#000022156",19
"Supplier#000031131",19
"Supplier#000032671",19
"Supplier#000033690",19
"Supplier#000047843",19
"Supplier#000052457",19
"Supplier#000059833",19
"Supplier#000075340",19
"Supplier#000080176",19
"Supplier#000094133",19
"Supplier#000112105",19
"Supplier#000117632",19
"Supplier#000117904",19
"Supplier#000118745",19
"Supplier#000134080",19
"Supplier#000135972",19
"Supplier#000142854",19
"Supplier#000143892",19
"Supplier#000145446",19
"Supplier#000152187",19
"Supplier#000161489",19
"Supplier#000170102",19
"Supplier#000180101",19
"Supplier#000187984",19
"Supplier#000001161",18
"Supplier#000005842",18
"Supplier#000014494",18
"Supplier#000014785",18
"Supplier#000017753",18
"Supplier#000024841",18
"Supplier#000027638",18
"Supplier#000033216",18
"Supplier#000033727",18
"Supplier#000034327",18
"Supplier#000043195",18
"Supplier#000046413",18
"Supplier#000046875",18
"Supplier#000051294",18
"Supplier#000053226",18
"Supplier#000056379",18
"Supplier#000058617",18
"Supplier#000060969",18
"Supplier#000063221",18
"Supplier#000067534",18
"Supplier#000071775",18
"Supplier#000073439",18
"Supplier#000073573",18
"Supplier#000081144",18
"Supplier#000081304",18
"Supplier#000087423",18
"Supplier#000088016",18
"Supplier#000095285",18
"Supplier#000109619",18
"Supplier#000110021",18
"Supplier#000110901",18
"Supplier#000115646",18
"Supplier#000120017",18
"Supplier#000120271",18
"Supplier#000120702",18
"Supplier#000129009",18
"Supplier#000137923",18
"Supplier#000139257",18
"Supplier#000146954",18
"Supplier#000148253",18
"Supplier#000157362",18
"Supplier#000159129",18
"Supplier#000161049",18
"Supplier#000162187",18
"Supplier#000162357",18
"Supplier#000165365",18
"Supplier#000167259",18
"Supplier#000169337",18
"Supplier#000177156",18
"Supplier#000180170",18
"Supplier#000183527",18
