s_acctbal,s_name,n_name,p_partkey,p_mfgr,s_address,s_phone,s_comment
9995.34,"Supplier#000190688",UNITED KINGDOM,790687,"Manufacturer#3","pSlhz0825vaM,Ly8Y4VLCtdGzFNpsDh35U",33-424-942-1566,side of the carefully special pinto
9995.22,"Supplier#000047386",ROMANIA,1397379,"Manufacturer#5",yuT9CtXmek 6qG6myKjMZt,29-218-916-4495,instructions. blithely ironic theodo
9994.66,"Supplier#000071807",FRANCE,1321788,"Manufacturer#3",ae0mc8V3kBT,16-407-922-3032, final packages haggle against the ironic ideas. 
9993.94,"Supplier#000026164",RUSSIA,576161,"Manufacturer#4","5qEqYLh,Kw9kdiq7VyBz1a9pvr6yO3",32-866-246-6541, the quickly enticing pains. quickly ironic packages sleep. slyly reg
9990.41,"Supplier#000191886",FRANCE,1741877,"Manufacturer#5",tm ZXbg2XihszOjpmgw7lbBACJ5Dc2gP,16-118-188-4956, ironic platelets. carefully final asymptotes sleep furi
9989.15,"Supplier#000089499",GERMANY,2639485,"Manufacturer#2","Lh3p,IfDGb67NlJ",17-266-433-8797,"its according to the slyly regular excuses haggle across the pending, ironic pinto "
9987.24,"Supplier#000164040",ROMANIA,2664013,"Manufacturer#1","C4UBmR8Dl, rFv8MlD,NToEVzxw2bZ4",29-353-175-8478,s. silent theodolites are blithely regular requests. even requests play blithely
9984.3,"Supplier#000081977",RUSSIA,3081976,"Manufacturer#5",gemeY46TI2J6ZAt9gjouxB,32-569-570-6149,ng to the furiously special package
9983.76,"Supplier#000024757",RUSSIA,2524732,"Manufacturer#3","vJb,kFRqwsv34H5Y6GsRAEJXz0VCZ",32-868-781-9721,"nal foxes. theodolites cajole regular, final grouches. unusual, final theodolites lose"
9983.53,"Supplier#000122124",FRANCE,22123,"Manufacturer#5",",Xjvi2CNLsDN VgN5Ej",16-493-782-7874," slyly unusual accounts would cajole final, ironic deposits. enticing,"
9983.53,"Supplier#000122124",FRANCE,3022093,"Manufacturer#4",",Xjvi2CNLsDN VgN5Ej",16-493-782-7874," slyly unusual accounts would cajole final, ironic deposits. enticing,"
9982.24,"Supplier#000197462",GERMANY,97461,"Manufacturer#2",7SdSKbJ2pdAvCpG,17-200-697-3983,es maintain furiously. slyly ir
9982.12,"Supplier#000115580",RUSSIA,2715579,"Manufacturer#5",B8gpWJE0s cO8K,32-270-216-1537,y regular ideas: excuses serve slyly. furiously special excuses wake. fur
9980.93,"Supplier#000118263",UNITED KINGDOM,3118262,"Manufacturer#2",U8WUFu5rph,33-156-772-3541, excuses cajole blithely furiously final attainmen
9978.84,"Supplier#000175464",GERMANY,2075443,"Manufacturer#3",6hkUiQuhU90ZNt,17-856-633-5399,carefully after the bold fo
9972.22,"Supplier#000063539",UNITED KINGDOM,663538,"Manufacturer#2",hH22I9VOgOnS,33-349-948-5173,"even, pending instructions among the furiously regular dependencies haggle agai"
9972.22,"Supplier#000063539",UNITED KINGDOM,3413521,"Manufacturer#3",hH22I9VOgOnS,33-349-948-5173,"even, pending instructions among the furiously regular dependencies haggle agai"
9971.91,"Supplier#000198441",ROMANIA,1698424,"Manufacturer#2",IA99BonbQHkTBW0w7avAPFPpp,29-922-575-7718,efully express accounts. blithely express foxes along th
9969.93,"Supplier#000108510",ROMANIA,1658501,"Manufacturer#1",D5WzxXc1NwetEpKbyQlT0CwtJJ9vu75,29-110-370-1088,ss the slyly final dependencies. fluffily b
9968.96,"Supplier#000085431",ROMANIA,1885430,"Manufacturer#4",1hhUdxO7AVH,29-402-887-2528," boost furiously blithely quiet requests. ironic, ironic instructions haggle slowly. ironic, un"
9967.6,"Supplier#000028837",ROMANIA,228836,"Manufacturer#2",gAaNbDxVTyFjjhgGodAKyy9uk,29-105-576-2294,hins must have to haggle blithely along
9967.6,"Supplier#000028837",ROMANIA,1828836,"Manufacturer#4",gAaNbDxVTyFjjhgGodAKyy9uk,29-105-576-2294,hins must have to haggle blithely along
9964.26,"Supplier#000135068",UNITED KINGDOM,2785028,"Manufacturer#2",kpTlceEYc6FxfgRj5dtz26Em,33-842-159-9482,refully ironic instructions. carefully regular requests along the furiously i
9964.25,"Supplier#000096253",ROMANIA,1796236,"Manufacturer#5",zathOWfV1IK DCgsh5goxZ oCC,29-411-331-9917,arefully regular requests
9963.87,"Supplier#000175849",GERMANY,675842,"Manufacturer#1",FRQUnmYyImq4oSiYCEhcLmS,17-506-302-6010,"s. blithely pending pinto beans are blithely silent, even instructions. "
9963.87,"Supplier#000175849",GERMANY,2875820,"Manufacturer#1",FRQUnmYyImq4oSiYCEhcLmS,17-506-302-6010,"s. blithely pending pinto beans are blithely silent, even instructions. "
9963.16,"Supplier#000114444",RUSSIA,3414409,"Manufacturer#5",PRPQJcGzbU2bw5ak8I3GW,32-680-556-1317,cajole. carefully blithe deposits cajole after the furiously express dolphins. quick
9961.34,"Supplier#000016272",UNITED KINGDOM,2316249,"Manufacturer#3",MgSqMFihB5voR65MTjO9Gsu,33-964-689-9063,sts along the blithely ironic instructions detect blithely final courts. 
9961.34,"Supplier#000016272",UNITED KINGDOM,3366255,"Manufacturer#5",MgSqMFihB5voR65MTjO9Gsu,33-964-689-9063,sts along the blithely ironic instructions detect blithely final courts. 
9961.34,"Supplier#000016272",UNITED KINGDOM,3966252,"Manufacturer#1",MgSqMFihB5voR65MTjO9Gsu,33-964-689-9063,sts along the blithely ironic instructions detect blithely final courts. 
9958.42,"Supplier#000159370",FRANCE,2859341,"Manufacturer#2",wpMzHkSs1BVK037dLwU,16-127-582-2095,"ymptotes haggle quickly at the fluffily express accounts. pending, even somas after the slyly s"
9958.37,"Supplier#000104790",GERMANY,1354771,"Manufacturer#1","dpaVc7Xu,YRaUlFvZdortLgZP4Uzyatoq",17-161-770-9924,leep regular requests. asymptotes detec
9956.67,"Supplier#000074260",FRANCE,1924232,"Manufacturer#1","W83 2W,pP8sFtnVxjOJC1a7zO5",16-511-538-8136,yly ironic ideas try to are! final platelets above the final
9956.61,"Supplier#000135331",UNITED KINGDOM,2335330,"Manufacturer#4",DfRjYSb1aCzA,33-216-219-5339,"ng accounts breach furiously express accounts. even, even theodolites boost fluffily furiou"
9954.62,"Supplier#000122356",GERMANY,3222323,"Manufacturer#5","mmtp1GCiF4ujJ,YTzToEsli",17-236-838-8637,ous accounts haggle caref
9953.77,"Supplier#000155787",RUSSIA,1555786,"Manufacturer#3",URlre2d09JAztkZ76FtK3OCpl8Zay,32-889-939-1328,deposits are blithely above the s
9948.58,"Supplier#000191090",ROMANIA,1141084,"Manufacturer#4",7ihKQenFzgdXQ95d1jPrpKtJ2yg64T9Ys7Xe,29-353-839-5489, regular accounts x-ray slyly above the furiously ironic ideas. fluffil
9945.74,"Supplier#000041423",UNITED KINGDOM,291419,"Manufacturer#2",Grp0t7JJmjG,33-480-506-7359,ons against the pending asymptotes mold slyly regular fo
9944.02,"Supplier#000010019",ROMANIA,1810018,"Manufacturer#4","6fy8i iDm,kCwJfaiNRZtVWeAtrLnQT",29-695-919-1392,y regular excuses are blithely special theodolites. final excuses sleep
9942.02,"Supplier#000150270",FRANCE,2200236,"Manufacturer#5",Ss LJacmPkdVeKZ2BkPAxxecfGU,16-515-963-7099,s cajole along the blithely
9941.34,"Supplier#000072026",UNITED KINGDOM,2771999,"Manufacturer#5",76usUx7kzzLL,33-161-494-3924," beans. final, unusual foxes haggle furiously above the slyly special excuses. silently unu"
9939.51,"Supplier#000130285",UNITED KINGDOM,830276,"Manufacturer#2",uUWWURDLJFihQBt74aK0v8,33-509-692-1242,ironic requests cajole furiously against the carefully pending 
9939.51,"Supplier#000130285",UNITED KINGDOM,2630258,"Manufacturer#1",uUWWURDLJFihQBt74aK0v8,33-509-692-1242,ironic requests cajole furiously against the carefully pending 
9939.4,"Supplier#000028113",RUSSIA,428112,"Manufacturer#2",HrnOoqKBep02Dvafwz9SHIzaJWlL,32-938-722-6528,"ideas. ruthlessly ironic accounts should are slyly special, regular pla"
9938.69,"Supplier#000048337",RUSSIA,1448336,"Manufacturer#5",tXGAix6fSBfdQuOu4BBAQDsnVsCzxzFK8g1,32-566-156-5537,ular pinto beans. slyly express theodolites sleep blithely
9938.58,"Supplier#000094826",FRANCE,1494825,"Manufacturer#4","2QpjZspOzpdUre9zk9,IoeNDxm2",16-253-529-1094,ideas. ruthlessly sly package
9937.53,"Supplier#000042994",GERMANY,1442993,"Manufacturer#3","Q,AdU5BqQwPC2rGbrydanSbbEU6PoTPf",17-429-634-1843,aggle carefully along the quickly even
