nation,o_year,sum_profit
ALGERIA,1998,271504046.5508001
ALGERIA,1997,457035986.9555001
ALGERIA,1996,457125199.04139996
ALGERIA,1995,460972497.0491004
ALGERIA,1994,456444975.7127001
ALGERIA,1993,456449926.41379964
ALGERIA,1992,459548354.76799977
ARGENTINA,1998,277792984.9141001
ARGENTINA,1997,467555914.5594
ARGENTINA,1996,473886192.7453004
ARGENTINA,1995,468457259.95840025
ARGENTINA,1994,467071963.60409987
ARGENTINA,1993,469523991.9187999
ARGENTINA,1992,471169675.3110001
BRAZIL,1998,278153002.02210003
BRAZIL,1997,460597231.9522003
BRAZIL,1996,465471604.2949001
BRAZIL,1995,466391978.0645
BRAZIL,1994,466833690.9775005
BRAZIL,1993,458908773.79739946
BRAZIL,1992,468249491.5476004
CANADA,1998,275439101.9485998
CANADA,1997,474082096.19689965
CANADA,1996,477716584.1506001
CANADA,1995,473132576.7989001
CANADA,1994,481016610.5184
CANADA,1993,472953555.264
CANADA,1992,481805640.9016001
CHINA,1998,272070640.6692998
CHINA,1997,455987131.7972001
CHINA,1996,461550593.97610027
CHINA,1995,459802419.62380016
CHINA,1994,468364356.67210007
CHINA,1993,461342701.9659998
CHINA,1992,459531255.10259956
EGYPT,1998,275826468.5659998
EGYPT,1997,468914421.17369986
EGYPT,1996,480846171.3455001
EGYPT,1995,463269755.55760026
EGYPT,1994,474777163.4912998
EGYPT,1993,470918443.8883997
EGYPT,1992,471122601.0568998
ETHIOPIA,1998,267715312.99720004
ETHIOPIA,1997,463042117.7117
ETHIOPIA,1996,462188761.8428998
ETHIOPIA,1995,463533367.44890046
ETHIOPIA,1994,462007399.27439994
ETHIOPIA,1993,461582536.7295004
ETHIOPIA,1992,467185440.72330034
FRANCE,1998,266843901.50579983
FRANCE,1997,458070785.3050002
FRANCE,1996,461296514.4870001
FRANCE,1995,466047944.1293002
FRANCE,1994,462634959.9099002
FRANCE,1993,456729344.3949001
FRANCE,1992,464519631.71190006
GERMANY,1998,277397556.09379995
GERMANY,1997,470119665.3476
GERMANY,1996,461596286.10900015
GERMANY,1995,465597894.3035
GERMANY,1994,476317928.2678001
GERMANY,1993,470911293.15169954
GERMANY,1992,465347989.0131998
INDIA,1998,276060859.8202
INDIA,1997,461350010.45049995
INDIA,1996,465503081.6256001
INDIA,1995,476533373.1711001
INDIA,1994,470640674.3718001
INDIA,1993,476166831.72070026
INDIA,1992,468465080.12439936
INDONESIA,1998,263887697.63939995
INDONESIA,1997,459758442.38460016
INDONESIA,1996,463748810.0705998
INDONESIA,1995,455827964.5785997
INDONESIA,1994,465148048.8442004
INDONESIA,1993,459510115.3457999
INDONESIA,1992,459790363.5135002
IRAN,1998,276956529.5895999
IRAN,1997,461123229.47619975
IRAN,1996,464968475.61319995
IRAN,1995,471162133.1922001
IRAN,1994,474785986.9552998
IRAN,1993,469562836.76820016
IRAN,1992,465465715.8845999
IRAQ,1998,277184890.0447999
IRAQ,1997,466378600.7713
IRAQ,1996,480133899.1071999
IRAQ,1995,466034063.53900003
IRAQ,1994,470968413.21029985
IRAQ,1993,473233523.8617996
IRAQ,1992,474325636.4767999
JAPAN,1998,274676471.18710005
JAPAN,1997,468355529.24140024
JAPAN,1996,463254220.8988999
JAPAN,1995,462211056.5716004
JAPAN,1994,476425762.8922
JAPAN,1993,477905924.96319985
JAPAN,1992,472251458.52970016
JORDAN,1998,271011284.72209996
JORDAN,1997,459687061.10610014
JORDAN,1996,456381044.4642
JORDAN,1995,464095807.1108999
JORDAN,1994,466714223.72760004
JORDAN,1993,462387757.5012
JORDAN,1992,463531445.9571001
KENYA,1998,278319101.12809986
KENYA,1997,477086607.5796001
KENYA,1996,482407976.3831998
KENYA,1995,473877239.6725004
KENYA,1994,471783682.0154
KENYA,1993,475482414.9826998
KENYA,1992,476117840.94869983
MOROCCO,1998,272103874.77830017
MOROCCO,1997,465001451.08280015
MOROCCO,1996,469665068.1006997
MOROCCO,1995,475547576.4424
MOROCCO,1994,464206854.3977999
MOROCCO,1993,462506582.42359996
MOROCCO,1992,466178368.9621002
MOZAMBIQUE,1998,273890213.16650015
MOZAMBIQUE,1997,460347951.9202001
MOZAMBIQUE,1996,459929926.38080007
MOZAMBIQUE,1995,451530779.3053997
MOZAMBIQUE,1994,462880405.05909985
MOZAMBIQUE,1993,456798685.0443001
MOZAMBIQUE,1992,452818177.36789984
PERU,1998,267707703.59890002
PERU,1997,461492437.7051
PERU,1996,465131391.80270016
PERU,1995,461370247.5431998
PERU,1994,465770647.87819993
PERU,1993,467123495.1540001
PERU,1992,467445175.0088999
ROMANIA,1998,269548831.94829994
ROMANIA,1997,460428743.60150003
ROMANIA,1996,459940593.0616004
ROMANIA,1995,460999009.4708
ROMANIA,1994,452638448.5317
ROMANIA,1993,465847431.8173999
ROMANIA,1992,468844942.34079975
RUSSIA,1998,275798492.6762999
RUSSIA,1997,468793213.3854999
RUSSIA,1996,464463621.8952999
RUSSIA,1995,463464473.9385
RUSSIA,1994,459884926.7532
RUSSIA,1993,462392206.8613
RUSSIA,1992,468380941.55869985
SAUDI ARABIA,1998,279378137.1975001
SAUDI ARABIA,1997,467653569.2805998
SAUDI ARABIA,1996,478596317.5014999
SAUDI ARABIA,1995,477055436.34850013
SAUDI ARABIA,1994,471085362.0711001
SAUDI ARABIA,1993,468645363.70150006
SAUDI ARABIA,1992,479819120.23759973
UNITED KINGDOM,1998,269932152.26350003
UNITED KINGDOM,1997,463575539.6378999
UNITED KINGDOM,1996,467451217.68740034
UNITED KINGDOM,1995,465308981.27080005
UNITED KINGDOM,1994,466317400.9397999
UNITED KINGDOM,1993,467140902.3098999
UNITED KINGDOM,1992,464629409.6612998
UNITED STATES,1998,271746698.77030003
UNITED STATES,1997,466200287.23499984
UNITED STATES,1996,466726897.7639998
UNITED STATES,1995,470797066.3205
UNITED STATES,1994,476447816.2560001
UNITED STATES,1993,460120427.2978
UNITED STATES,1992,468157792.3022997
VIETNAM,1998,272979518.32739997
VIETNAM,1997,473777590.7683997
VIETNAM,1996,466048777.1537001
VIETNAM,1995,468658193.1331003
VIETNAM,1994,478019622.5094999
VIETNAM,1993,469271925.6739
